Wall time,Step,Value
1509435960.216882,24,0.6784989833831787
1509435964.128081,56,0.643172562122345
1509435964.494606,59,0.690365195274353
1509435978.645939,170,0.6846235990524292
1509435984.569757,215,0.6778886318206787
1509436008.289702,402,0.6691496968269348
1509436031.541596,588,0.7051436901092529
1509436051.751376,745,0.6266363859176636
1509436069.166547,883,0.6139618754386902
1509436072.292926,904,0.7100675106048584
1509436085.448772,1008,0.6338076591491699
1509436095.514262,1090,0.6260945200920105
1509436111.148586,1210,0.6585917472839355
1509436119.598124,1279,0.5800674557685852
1509436123.549451,1307,0.6194984912872314
1509436178.690881,1742,0.6424126029014587
1509436183.600312,1782,0.5634229183197021
1509436183.970564,1785,0.6240465641021729
1509436188.078012,1814,0.5946927070617676
1509436195.705857,1876,0.6163898706436157
1509436197.053123,1887,0.5563614368438721
1509436215.02493,2025,0.6224565505981445
1509436225.971897,2111,0.6251741647720337
1509436248.621565,2291,0.6384005546569824
1509436251.638075,2312,0.6126575469970703
1509436262.322633,2399,0.6020078659057617
1509436276.557105,2507,0.4803760051727295
1509436278.762775,2525,0.5852187275886536
1509436287.248028,2594,0.5708356499671936
1509436306.08912,2739,0.680651843547821
1509436322.012871,2865,0.5513612627983093
1509436323.364816,2876,0.6067032217979431
1509436343.422353,3032,0.6810817718505859
1509436361.242999,3172,0.5997932553291321
1509436374.227002,3274,0.5964873433113098
1509436380.17779,3318,0.5905764102935791
1509436380.298946,3319,0.544847846031189
1509436385.811328,3364,0.5653433203697205
1509436418.565258,3619,0.4710262417793274
1509436434.366137,3743,0.6352407336235046
1509436434.493597,3744,0.5524536967277527
1509436435.470912,3752,0.5009838342666626
1509436437.449727,3768,0.5866859555244446
1509436447.704064,3847,0.47624582052230835
1509436466.836759,3999,0.5999769568443298
1509436469.909598,4020,0.5609214305877686
1509436481.37994,4110,0.543388843536377
1509436498.451073,4245,0.5477832555770874
1509436502.132929,4275,0.5277643203735352
1509436524.021262,4446,0.5043243765830994
1509436548.742019,4640,0.5963731408119202
1509436587.348691,4942,0.5994248390197754
1509436601.525872,5053,0.5146398544311523
1509436613.405667,5146,0.5346701741218567
1509436652.818515,5455,0.48082420229911804
1509436670.637755,5596,0.5706362724304199
1509436682.153287,5686,0.5898687243461609
1509436693.275509,5773,0.534304141998291
1509436734.222013,6095,0.5429185628890991
1509436748.604784,6205,0.5225588083267212
1509436764.759633,6333,0.4655778110027313
1509436789.480428,6527,0.46271735429763794
1509436833.578635,6875,0.4574502110481262
1509436850.921595,7009,0.48762091994285583
1509436858.158068,7068,0.5280768275260925
1509436872.801988,7183,0.549222469329834
1509436878.378383,7225,0.4836651086807251
1509436878.86753,7229,0.5027307271957397
1509436894.023884,7349,0.5495458841323853
1509436922.62016,7575,0.39433062076568604
1509436924.814623,7593,0.5050603747367859
1509436941.159158,7719,0.5251327753067017
1509436954.023014,7820,0.39444679021835327
1509436997.875958,8167,0.44566577672958374
1509437004.580996,8218,0.5189158320426941
1509437012.087944,8279,0.5542629957199097
1509437022.237208,8358,0.4531678855419159
1509437026.174555,8390,0.47658777236938477
1509437027.035451,8397,0.4822652041912079
1509437038.252263,8485,0.5734001994132996
1509437055.507908,8618,0.48280414938926697
1509437092.661219,8910,0.47172385454177856
1509437124.81674,9165,0.5765731930732727
1509437133.839448,9235,0.5235692262649536
1509437152.532322,9384,0.5602602362632751
1509437153.016072,9388,0.585293173789978
1509437170.441292,9523,0.47925931215286255
1509437172.775749,9542,0.42429685592651367
1509437184.425919,9633,0.4980648159980774
1509437186.139407,9647,0.5298260450363159
1509437210.017349,9835,0.44199642539024353
1509437210.386972,9838,0.5581236481666565
1509437224.641839,9951,0.533205509185791
1509437237.187463,10050,0.45112958550453186
1509437239.882559,10072,0.49618712067604065
1509437245.31739,10113,0.43419918417930603
1509437258.171936,10214,0.46430447697639465
1509437272.444053,10327,0.4768715500831604
1509437274.038589,10340,0.44752323627471924
1509437278.45246,10376,0.5073654055595398
1509437278.824075,10379,0.4479992985725403
1509437302.140129,10562,0.47028547525405884
1509437305.95328,10593,0.4948462247848511
1509437317.353161,10682,0.46452540159225464
1509437333.490204,10807,0.5239472389221191
1509437337.532201,10840,0.5227106213569641
1509437339.147676,10853,0.42707645893096924
1509437343.681385,10890,0.481809139251709
1509437345.315269,10900,0.5433578491210938
1509437349.491105,10934,0.47873252630233765
1509437355.495512,10983,0.43410614132881165
1509437358.245168,11002,0.5385907888412476
1509437360.347937,11019,0.39561912417411804
1509437366.735628,11071,0.5621185302734375
1509437385.351918,11216,0.5082491040229797
1509437388.292223,11240,0.45637059211730957
1509437389.516643,11250,0.5143235921859741
1509437401.277738,11342,0.4712255001068115
1509437411.491365,11422,0.4588097333908081
1509437421.929835,11504,0.6014471054077148
1509437434.290233,11601,0.48158618807792664
1509437449.436388,11721,0.5346115827560425
1509437476.912765,11938,0.46140575408935547
1509437496.201629,12092,0.33793652057647705
1509437497.849412,12101,0.5420816540718079
1509437520.445708,12282,0.48594337701797485
1509437520.566854,12283,0.3254782557487488
1509437523.707077,12305,0.39051544666290283
1509437536.961496,12410,0.4708051085472107
1509437547.883144,12499,0.4342552423477173
1509437549.879167,12512,0.4403020739555359
1509437560.280054,12597,0.44898784160614014
1509437562.438689,12611,0.5580940246582031
1509437572.725116,12695,0.3626686930656433
1509437583.573355,12780,0.5168566107749939
1509437591.322133,12840,0.42261961102485657
1509437599.454771,12903,0.47796857357025146
1509437600.561892,12912,0.47861212491989136
1509437610.945473,12997,0.401762992143631
1509437625.404063,13108,0.5196118950843811
1509437633.956264,13178,0.47597357630729675
1509437650.507394,13306,0.5358032584190369
1509437650.750053,13308,0.4772399067878723
1509437651.973298,13318,0.5114620923995972
1509437694.994019,13659,0.4543887674808502
1509437704.604683,13734,0.6147516965866089
1509437707.43436,13757,0.39788880944252014
1509437727.245773,13912,0.5181950330734253
1509437757.403428,14151,0.47489649057388306
1509437771.154836,14260,0.4622809886932373
1509437780.414515,14332,0.5255782008171082
1509437799.968326,14488,0.49586614966392517
1509437800.826885,14495,0.4501415193080902
1509437802.483669,14505,0.591184675693512
1509437807.493996,14546,0.4855426847934723
1509437818.830909,14635,0.541620135307312
1509437823.734003,14675,0.4611469507217407
1509437829.674706,14720,0.4265296757221222
1509437835.826877,14770,0.545932948589325
1509437837.289533,14782,0.4278258979320526
1509437843.462475,14829,0.47749507427215576
1509437856.17595,14929,0.4762243628501892
1509437856.663672,14933,0.4561194181442261
1509437868.873176,15029,0.5483628511428833
1509437878.505809,15104,0.4502474069595337
1509437880.089725,15117,0.42236006259918213
1509437885.593652,15162,0.43579378724098206
1509437886.451267,15169,0.47978565096855164
1509437888.04204,15182,0.4994300603866577
1509437896.817747,15250,0.4877186417579651
1509437903.842562,15304,0.5076932907104492
1509437904.207392,15307,0.5907812118530273
1509437927.844934,15495,0.47379231452941895
1509437929.180707,15502,0.5755417943000793
1509437933.223217,15535,0.4404677152633667
1509437946.024131,15636,0.43694353103637695
1509437949.092127,15661,0.5092482566833496
1509437970.662479,15830,0.48068031668663025
1509437976.906131,15881,0.4805058538913727
1509438004.231207,16097,0.5476505756378174
1509438017.829947,16201,0.5458096861839294
1509438019.800981,16217,0.4917626678943634
1509438036.450512,16349,0.5436290502548218
1509438061.540338,16547,0.4533679187297821
1509438073.110044,16638,0.6682878136634827
1509438092.870262,16796,0.35556164383888245
1509438101.13977,16860,0.5641400218009949
1509438174.561706,17438,0.4557552933692932
1509438177.63312,17463,0.4522245526313782
1509438189.551429,17557,0.42774930596351624
1509438190.282116,17563,0.45501771569252014
1509438191.274812,17571,0.6094744801521301
1509438201.411016,17650,0.4147564470767975
1509438206.290065,17690,0.4968132972717285
1509438217.488615,17778,0.38727810978889465
1509438247.8611,18015,0.3674444854259491
1509438255.087177,18074,0.5243504047393799
1509438275.162992,18231,0.3964753746986389
1509438286.217826,18317,0.4438454508781433
1509438316.573249,18558,0.4396122992038727
1509438321.088606,18595,0.414569616317749
1509438409.558413,19293,0.3688039183616638
1509438420.422063,19378,0.46513885259628296
1509438430.274406,19455,0.5386975407600403
1509438437.12516,19507,0.4355885684490204
1509438437.370877,19509,0.5265130996704102
1509438465.661883,19733,0.48549124598503113
1509438471.305058,19779,0.4159654378890991
1509438477.673238,19827,0.4790056347846985
1509438484.174037,19880,0.4698661267757416
1509438485.14876,19888,0.4367462992668152
1509438486.494338,19899,0.5670051574707031
1509438503.03943,20027,0.5845810174942017
1509438534.655634,20278,0.461276650428772
1509438537.224045,20299,0.4165838360786438
1509438541.020257,20326,0.38403889536857605
1509438574.445152,20592,0.5789686441421509
1509438584.701589,20672,0.4932234287261963
1509438598.955749,20785,0.4336715340614319
1509438627.603111,21008,0.4326852262020111
1509438631.879081,21043,0.4687937796115875
1509438642.135268,21123,0.49189293384552
1509438642.257417,21124,0.5325992107391357
1509438646.671191,21160,0.5167742371559143
1509438663.251796,21292,0.44282224774360657
1509438685.323996,21465,0.4403998553752899
1509438709.854436,21658,0.46225836873054504
1509438760.061222,22054,0.5184789896011353
1509438763.008325,22078,0.43982622027397156
1509438804.443111,22402,0.47481483221054077
1509438806.14706,22416,0.477350115776062
1509438807.373102,22426,0.47919416427612305
1509438822.228727,22544,0.4633296728134155
1509438823.341296,22553,0.5024150609970093
1509438824.807593,22565,0.44360780715942383
1509438842.193981,22700,0.4023393392562866
1509438846.606537,22736,0.3921237587928772
1509438851.010469,22772,0.46966367959976196
1509438873.063123,22945,0.4392806887626648
1509438888.197225,23065,0.43039190769195557
1509438910.807665,23242,0.5496127605438232
1509438934.582505,23429,0.42272675037384033
1509438950.560023,23556,0.47483301162719727
1509438965.208218,23672,0.45319411158561707
1509439002.974899,23970,0.4020504355430603
1509439013.794134,24055,0.47811004519462585
1509439016.126385,24074,0.4801529049873352
1509439030.383244,24186,0.3678961396217346
1509439031.363418,24194,0.43244025111198425
1509439040.549575,24265,0.4017089009284973
1509439052.253699,24357,0.41303426027297974
1509439074.90825,24535,0.48453807830810547
1509439079.569839,24573,0.42088553309440613
1509439081.154851,24586,0.4748818874359131
1509439099.19053,24726,0.5264160633087158
1509439113.115922,24836,0.5102435946464539
1509439119.844943,24891,0.4569903016090393
1509439124.446622,24925,0.44065314531326294
1509439129.337661,24965,0.47489121556282043
1509439143.135035,25074,0.34957820177078247
1509439200.107786,25521,0.5828644037246704
1509439213.060621,25623,0.4292822480201721
1509439226.957456,25733,0.45914947986602783
1509439241.578917,25849,0.5107904672622681
1509439255.840989,25962,0.4478863775730133
1509439268.526102,26062,0.4848288297653198
1509439284.786901,26191,0.47204047441482544
1509439305.229823,26351,0.4961674213409424
1509439318.534169,26456,0.39068931341171265
1509439319.27074,26462,0.5053911209106445
1509439377.623873,26921,0.4778413474559784
1509439392.376985,27038,0.44716301560401917
1509439395.19252,27061,0.49569106101989746
1509439408.263072,27164,0.4229828715324402
1509439468.636771,27640,0.5453758835792542
1509439478.97808,27721,0.3324997127056122
1509439496.400171,27860,0.4445864260196686
1509439543.100143,28228,0.30008259415626526
1509439557.583088,28343,0.48266303539276123
1509439586.686946,28574,0.36780473589897156
1509439618.324512,28822,0.32554885745048523
1509439635.764724,28961,0.44415828585624695
1509439670.516106,29235,0.37998926639556885
1509439690.01798,29391,0.4538305401802063
1509439700.323322,29472,0.5285912752151489
1509439709.52309,29544,0.36131876707077026
1509439747.569058,29845,0.4320037364959717
1509439761.301845,29954,0.37038958072662354
1509439766.424991,29996,0.5043748021125793
1509439768.079672,30006,0.47163909673690796
1509439786.802609,30156,0.411361426115036
1509439788.752308,30172,0.4325854182243347
1509439797.494122,30240,0.5047209858894348
1509439801.877728,30276,0.4953857362270355
1509439806.73015,30312,0.48969191312789917
1509439823.917846,30449,0.4490630030632019
1509439825.018109,30458,0.3458792269229889
1509439843.574164,30603,0.42826664447784424
1509439845.887609,30622,0.45526623725891113
1509439875.778039,30860,0.36378803849220276
1509439897.102504,31027,0.43230128288269043
1509439912.793117,31152,0.4099351763725281
1509439919.540083,31204,0.428239107131958
1509439921.854622,31223,0.41367217898368835
1509439932.727665,31308,0.3115304112434387
1509439935.166856,31328,0.31820860505104065
1509439967.773211,31588,0.5137960314750671
1509439978.215391,31670,0.37702447175979614
1509440005.685356,31888,0.42102760076522827
1509440014.318143,31955,0.4840753376483917
1509440016.623152,31974,0.5402324795722961
1509440055.224226,32280,0.4286719560623169
1509440060.414623,32319,0.49134811758995056
1509440065.535995,32361,0.4229939877986908
1509440109.212316,32705,0.47713541984558105
1509440137.629696,32931,0.3604116141796112
1509440144.934655,32991,0.41506093740463257
1509440151.843469,33044,0.42082491517066956
1509440159.23367,33101,0.3907875716686249
1509440162.406774,33127,0.3511987030506134
1509440167.274097,33167,0.41893428564071655
1509440183.827144,33299,0.41200169920921326
1509440186.812036,33320,0.38189005851745605
1509440189.374698,33341,0.5154448747634888
1509440204.185602,33459,0.34532150626182556
1509440226.503204,33635,0.49005749821662903
1509440253.334593,33848,0.4435012936592102
1509440261.563197,33912,0.42682012915611267
1509440275.539923,34023,0.40833431482315063
1509440300.328417,34219,0.3496135175228119
1509440303.250999,34243,0.4188161790370941
1509440314.438432,34331,0.5136352181434631
1509440316.870365,34351,0.44792184233665466
1509440338.190305,34518,0.40265265107154846
1509440363.34878,34717,0.4397975206375122
1509440384.165513,34884,0.3891870379447937
1509440419.458316,35163,0.5123467445373535
1509440425.2482,35207,0.42409229278564453
1509440435.750372,35293,0.4391791820526123
1509440438.285524,35310,0.36412447690963745
1509440443.525945,35353,0.43998897075653076
1509440445.35447,35368,0.4595646858215332
1509440451.518716,35415,0.362052321434021
1509440470.893951,35570,0.4167007505893707
1509440478.646157,35630,0.504822313785553
1509440481.576695,35654,0.4424302577972412
1509440483.398576,35669,0.45976781845092773
1509440513.968989,35909,0.4626469910144806
1509440516.156051,35927,0.47803768515586853
1509440544.4533,36152,0.31745633482933044
1509440545.311142,36159,0.375973641872406
1509440570.340873,36357,0.4094501733779907
1509440570.949982,36362,0.518561601638794
1509440575.346607,36398,0.4933658838272095
1509440588.823828,36501,0.43251025676727295
1509440594.432453,36547,0.5279731750488281
1509440619.824002,36748,0.4607345759868622
1509440625.821047,36797,0.41966742277145386
1509440639.958836,36906,0.39518892765045166
1509440643.607439,36936,0.410730242729187
1509440653.193552,37011,0.48455724120140076
1509440674.122448,37179,0.4017679691314697
1509440679.302828,37218,0.39740514755249023
1509440679.544852,37220,0.4499189555644989
1509440709.038863,37454,0.38196587562561035
1509440750.263364,37781,0.48452457785606384
1509440758.010298,37841,0.4311932921409607
1509440787.153398,38073,0.37323445081710815
1509440787.398309,38075,0.4116811156272888
1509440793.899403,38125,0.4051879644393921
1509440809.323782,38248,0.3226276636123657
1509440818.432785,38319,0.4016231596469879
1509440827.725702,38395,0.4267086088657379
1509440832.568551,38431,0.4764229357242584
1509440848.983964,38562,0.42697298526763916
1509440852.279917,38589,0.39336657524108887
1509440855.642957,38613,0.43456679582595825
