Wall time,Step,Value
1509481474.863005,24,0.6875972747802734
1509481478.776462,56,0.6765891313552856
1509481479.142038,59,0.7163424491882324
1509481499.293933,215,0.6752305030822754
1509481523.163523,402,0.6635102033615112
1509481546.543593,588,0.6315058469772339
1509481587.391482,904,0.5640219449996948
1509481600.725916,1008,0.6413311958312988
1509481610.80628,1090,0.543982744216919
1509481626.467916,1210,0.6749606132507324
1509481634.952554,1279,0.509573757648468
1509481694.102022,1742,0.5079545974731445
1509481699.04746,1782,0.5276263356208801
1509481699.415044,1785,0.564636766910553
1509481730.31132,2025,0.548129677772522
1509481741.332132,2111,0.5793707370758057
1509481766.861399,2312,0.49115973711013794
1509481802.400951,2594,0.6826443076133728
1509481821.170672,2739,0.6714721322059631
1509481837.059956,2865,0.5551505088806152
1509481838.410453,2876,0.5407898426055908
1509481876.122499,3172,0.4508541226387024
1509481889.088118,3274,0.46443039178848267
1509481894.901516,3318,0.44061076641082764
1509481895.022409,3319,0.5986223220825195
1509481933.317359,3619,0.39771875739097595
1509481948.945226,3743,0.5185288190841675
1509481949.069518,3744,0.638129711151123
1509481950.057968,3752,0.49043768644332886
1509481952.010686,3768,0.5722076296806335
1509481962.26795,3847,0.4874380826950073
1509481981.397479,3999,0.4584228992462158
1509481984.443273,4020,0.5129963159561157
1509482063.369512,4640,0.648510217666626
1509482115.805075,5053,0.3787030875682831
1509482167.138503,5455,0.48137229681015015
1509482184.952869,5596,0.4134666323661804
1509482207.770155,5773,0.4928813576698303
1509482263.0738,6205,0.40811687707901
1509482279.239938,6333,0.43475228548049927
1509482304.064893,6527,0.5513027906417847
1509482348.082812,6875,0.49188661575317383
1509482365.383212,7009,0.4271436333656311
1509482387.174338,7183,0.5606688261032104
1509482393.248176,7229,0.4012737572193146
1509482408.465335,7349,0.529730498790741
1509482455.734001,7719,0.5234543085098267
1509482468.547996,7820,0.4457259178161621
1509482519.16009,8218,0.4060143232345581
1509482536.762691,8358,0.4409680962562561
1509482540.67561,8390,0.4778212010860443
1509482541.537857,8397,0.4165463447570801
1509482552.802625,8485,0.4264827072620392
1509482607.144004,8910,0.5292725563049316
1509482639.302822,9165,0.34376460313796997
1509482667.058515,9384,0.48125359416007996
1509482667.546989,9388,0.4959127902984619
1509482685.092357,9523,0.506392776966095
1509482687.420856,9542,0.47241559624671936
1509482699.054384,9633,0.47644561529159546
1509482700.776112,9647,0.5315254330635071
1509482724.710889,9835,0.368010938167572
1509482725.07871,9838,0.48011526465415955
1509482739.383086,9951,0.400052934885025
1509482754.671268,10072,0.3967735767364502
1509482772.934322,10214,0.4698340594768524
